id,category,latitude,longitude,safety_score,geom
408,police_station,12.923899,80.190458,100,POINT(80.190458 12.923899)
409,store_24h,12.952032,80.236091,30,POINT(80.236091 12.952032)
410,theft_burglary,12.925523,80.236819,-40,POINT(80.236819 12.925523)
411,hospital_clinic,13.011063,80.268084,50,POINT(80.268084 13.011063)
412,street_light,13.061597,80.215729,20,POINT(80.215729 13.061597)
413,street_light,12.925278,80.190023,20,POINT(80.190023 12.925278)
414,dark_alley,13.064728,80.254869,-20,POINT(80.254869 13.064728)
415,assault_robbery,13.089949,80.2312,-100,POINT(80.2312 13.089949)
416,assault_robbery,12.976334,80.228951,-100,POINT(80.228951 12.976334)
417,assault_robbery,12.980062,80.197239,-100,POINT(80.197239 12.980062)
418,street_light,12.968757,80.174805,20,POINT(80.174805 12.968757)
419,store_24h,12.96356,80.193276,30,POINT(80.193276 12.96356)
420,dark_alley,12.940728,80.270368,-20,POINT(80.270368 12.940728)
421,hotspot,12.937861,80.208579,-60,POINT(80.208579 12.937861)
422,store_24h,13.008093,80.186118,30,POINT(80.186118 13.008093)
423,dark_alley,12.910567,80.247246,-20,POINT(80.247246 12.910567)
424,transit_stop,12.993397,80.17419,10,POINT(80.17419 12.993397)
425,police_station,13.077803,80.272975,100,POINT(80.272975 13.077803)
426,transit_stop,12.926301,80.290131,10,POINT(80.290131 12.926301)
427,hotspot,12.925902,80.296435,-60,POINT(80.296435 12.925902)
428,street_light,13.131587,80.274031,20,POINT(80.274031 13.131587)
429,dark_alley,13.101751,80.229924,-20,POINT(80.229924 13.101751)
430,dark_alley,12.949406,80.255193,-20,POINT(80.255193 12.949406)
431,transit_stop,13.003276,80.223879,10,POINT(80.223879 13.003276)
432,transit_stop,12.947869,80.249563,10,POINT(80.249563 12.947869)
433,street_light,13.104686,80.291582,20,POINT(80.291582 13.104686)
434,street_light,13.135072,80.274791,20,POINT(80.274791 13.135072)
435,theft_burglary,12.979723,80.209187,-40,POINT(80.209187 12.979723)
436,transit_stop,13.119477,80.240266,10,POINT(80.240266 13.119477)
437,store_24h,13.027393,80.204558,30,POINT(80.204558 13.027393)
438,transit_stop,13.085493,80.257831,10,POINT(80.257831 13.085493)
439,street_light,13.122815,80.257324,20,POINT(80.257324 13.122815)
440,transit_stop,12.939315,80.234546,10,POINT(80.234546 12.939315)
441,dark_alley,13.035484,80.191096,-20,POINT(80.191096 13.035484)
442,assault_robbery,12.974891,80.172708,-100,POINT(80.172708 12.974891)
443,assault_robbery,13.049121,80.240328,-100,POINT(80.240328 13.049121)
444,dark_alley,13.092237,80.223498,-20,POINT(80.223498 13.092237)
445,theft_burglary,13.087004,80.309172,-40,POINT(80.309172 13.087004)
446,street_light,13.14246,80.2075,20,POINT(80.2075 13.14246)
447,street_light,13.113395,80.289862,20,POINT(80.289862 13.113395)
448,theft_burglary,13.121521,80.302746,-40,POINT(80.302746 13.121521)
449,transit_stop,12.909312,80.27743,10,POINT(80.27743 12.909312)
450,assault_robbery,13.074179,80.270817,-100,POINT(80.270817 13.074179)
451,dark_alley,13.108092,80.263695,-20,POINT(80.263695 13.108092)
452,hotspot,13.109984,80.190508,-60,POINT(80.190508 13.109984)
453,theft_burglary,12.987214,80.272206,-40,POINT(80.272206 12.987214)
454,dark_alley,12.969446,80.277806,-20,POINT(80.277806 12.969446)
455,store_24h,13.003996,80.190739,30,POINT(80.190739 13.003996)
456,transit_stop,13.032458,80.188748,10,POINT(80.188748 13.032458)
457,street_light,13.093134,80.302619,20,POINT(80.302619 13.093134)
458,theft_burglary,13.060433,80.227809,-40,POINT(80.227809 13.060433)
459,dark_alley,12.940049,80.273162,-20,POINT(80.273162 12.940049)
460,store_24h,12.993704,80.190028,30,POINT(80.190028 12.993704)
461,hospital_clinic,12.931887,80.178443,50,POINT(80.178443 12.931887)
462,theft_burglary,12.954264,80.202988,-40,POINT(80.202988 12.954264)
463,police_station,13.036852,80.191781,100,POINT(80.191781 13.036852)
464,store_24h,13.016582,80.20156,30,POINT(80.20156 13.016582)
465,store_24h,13.147363,80.221308,30,POINT(80.221308 13.147363)
466,street_light,12.97276,80.175007,20,POINT(80.175007 12.97276)
467,transit_stop,12.938764,80.187835,10,POINT(80.187835 12.938764)
468,assault_robbery,13.140137,80.279789,-100,POINT(80.279789 13.140137)
469,store_24h,13.135401,80.257043,30,POINT(80.257043 13.135401)
470,theft_burglary,13.054968,80.295501,-40,POINT(80.295501 13.054968)
471,theft_burglary,12.990174,80.267283,-40,POINT(80.267283 12.990174)
472,street_light,13.008707,80.200262,20,POINT(80.200262 13.008707)
473,dark_alley,13.0586,80.220731,-20,POINT(80.220731 13.0586)
474,police_station,12.957349,80.210096,100,POINT(80.210096 12.957349)
475,dark_alley,12.904531,80.245235,-20,POINT(80.245235 12.904531)
476,theft_burglary,12.935689,80.297092,-40,POINT(80.297092 12.935689)
477,street_light,12.964136,80.183511,20,POINT(80.183511 12.964136)
478,theft_burglary,13.038334,80.272114,-40,POINT(80.272114 13.038334)
479,transit_stop,12.95603,80.183422,10,POINT(80.183422 12.95603)
480,store_24h,13.015069,80.219852,30,POINT(80.219852 13.015069)
481,street_light,13.111202,80.185997,20,POINT(80.185997 13.111202)
482,police_station,13.00482,80.280379,100,POINT(80.280379 13.00482)
483,theft_burglary,13.137056,80.28193,-40,POINT(80.28193 13.137056)
484,theft_burglary,13.049224,80.265623,-40,POINT(80.265623 13.049224)
485,hospital_clinic,13.106446,80.192689,50,POINT(80.192689 13.106446)
486,store_24h,12.913663,80.269828,30,POINT(80.269828 12.913663)
487,assault_robbery,12.961573,80.218442,-100,POINT(80.218442 12.961573)
488,store_24h,13.04337,80.292233,30,POINT(80.292233 13.04337)
489,hospital_clinic,13.115019,80.290114,50,POINT(80.290114 13.115019)
490,store_24h,12.95398,80.198233,30,POINT(80.198233 12.95398)
491,hospital_clinic,13.001746,80.250488,50,POINT(80.250488 13.001746)
492,transit_stop,13.050649,80.303298,10,POINT(80.303298 13.050649)
493,transit_stop,12.915373,80.223768,10,POINT(80.223768 12.915373)
494,theft_burglary,12.908202,80.171259,-40,POINT(80.171259 12.908202)
495,street_light,12.906945,80.183649,20,POINT(80.183649 12.906945)
496,store_24h,12.978099,80.180746,30,POINT(80.180746 12.978099)
497,street_light,13.139112,80.234293,20,POINT(80.234293 13.139112)
498,transit_stop,12.944628,80.258464,10,POINT(80.258464 12.944628)
499,street_light,12.934376,80.290684,20,POINT(80.290684 12.934376)
500,street_light,12.969922,80.296544,20,POINT(80.296544 12.969922)
501,hotspot,13.067605,80.284724,-60,POINT(80.284724 13.067605)
502,transit_stop,13.080253,80.242658,10,POINT(80.242658 13.080253)
503,dark_alley,12.938509,80.184781,-20,POINT(80.184781 12.938509)
504,street_light,13.005348,80.221766,20,POINT(80.221766 13.005348)
505,hospital_clinic,12.969255,80.293523,50,POINT(80.293523 12.969255)
506,street_light,12.962358,80.3084,20,POINT(80.3084 12.962358)
507,transit_stop,12.940301,80.229763,10,POINT(80.229763 12.940301)
508,transit_stop,13.118075,80.269387,10,POINT(80.269387 13.118075)
509,store_24h,12.972941,80.278143,30,POINT(80.278143 12.972941)
510,street_light,12.924973,80.191548,20,POINT(80.191548 12.924973)
511,street_light,12.915172,80.260943,20,POINT(80.260943 12.915172)
512,dark_alley,12.943525,80.218489,-20,POINT(80.218489 12.943525)
513,theft_burglary,12.998175,80.286645,-40,POINT(80.286645 12.998175)
514,police_station,12.909962,80.294771,100,POINT(80.294771 12.909962)
515,street_light,13.020384,80.278453,20,POINT(80.278453 13.020384)
516,store_24h,12.943437,80.219869,30,POINT(80.219869 12.943437)
517,street_light,12.945572,80.272486,20,POINT(80.272486 12.945572)
518,theft_burglary,13.108654,80.187616,-40,POINT(80.187616 13.108654)
519,police_station,13.00278,80.24233,100,POINT(80.24233 13.00278)
520,store_24h,13.076593,80.294355,30,POINT(80.294355 13.076593)
521,transit_stop,12.940805,80.220066,10,POINT(80.220066 12.940805)
522,transit_stop,12.954034,80.272052,10,POINT(80.272052 12.954034)
523,store_24h,13.08986,80.227485,30,POINT(80.227485 13.08986)
524,police_station,12.960071,80.271835,100,POINT(80.271835 12.960071)
525,store_24h,12.905835,80.202211,30,POINT(80.202211 12.905835)
526,theft_burglary,13.129907,80.181719,-40,POINT(80.181719 13.129907)
527,hospital_clinic,13.13828,80.238765,50,POINT(80.238765 13.13828)
528,street_light,13.043298,80.244378,20,POINT(80.244378 13.043298)
529,street_light,13.120181,80.268292,20,POINT(80.268292 13.120181)
530,dark_alley,12.942994,80.240668,-20,POINT(80.240668 12.942994)
531,police_station,13.073679,80.22074,100,POINT(80.22074 13.073679)
532,theft_burglary,12.977921,80.173664,-40,POINT(80.173664 12.977921)
533,assault_robbery,13.083154,80.182833,-100,POINT(80.182833 13.083154)
534,transit_stop,13.001763,80.217907,10,POINT(80.217907 13.001763)
535,dark_alley,13.056866,80.205461,-20,POINT(80.205461 13.056866)
536,street_light,13.095609,80.189807,20,POINT(80.189807 13.095609)
537,street_light,13.013438,80.252802,20,POINT(80.252802 13.013438)
538,theft_burglary,13.076883,80.269264,-40,POINT(80.269264 13.076883)
539,theft_burglary,13.084068,80.19782,-40,POINT(80.19782 13.084068)
540,hotspot,12.954914,80.208914,-60,POINT(80.208914 12.954914)
541,store_24h,13.135959,80.253458,30,POINT(80.253458 13.135959)
542,transit_stop,13.149842,80.251947,10,POINT(80.251947 13.149842)
543,transit_stop,13.103916,80.222475,10,POINT(80.222475 13.103916)
544,street_light,12.932656,80.274089,20,POINT(80.274089 12.932656)
545,dark_alley,13.05782,80.228923,-20,POINT(80.228923 13.05782)
546,theft_burglary,12.978093,80.265283,-40,POINT(80.265283 12.978093)
547,store_24h,12.980394,80.293371,30,POINT(80.293371 12.980394)
548,hospital_clinic,12.926597,80.22239,50,POINT(80.22239 12.926597)
549,transit_stop,13.026575,80.244847,10,POINT(80.244847 13.026575)
550,dark_alley,13.030364,80.298011,-20,POINT(80.298011 13.030364)
551,dark_alley,12.94507,80.240338,-20,POINT(80.240338 12.94507)
552,hospital_clinic,13.123591,80.208853,50,POINT(80.208853 13.123591)
553,assault_robbery,13.109086,80.284822,-100,POINT(80.284822 13.109086)
554,store_24h,12.942725,80.192045,30,POINT(80.192045 12.942725)
555,assault_robbery,12.941934,80.182102,-100,POINT(80.182102 12.941934)
556,transit_stop,12.955505,80.276225,10,POINT(80.276225 12.955505)
557,street_light,13.07749,80.180954,20,POINT(80.180954 13.07749)
558,street_light,13.138199,80.225529,20,POINT(80.225529 13.138199)
559,store_24h,13.022157,80.274391,30,POINT(80.274391 13.022157)
560,street_light,13.130464,80.290326,20,POINT(80.290326 13.130464)
561,theft_burglary,13.029872,80.271257,-40,POINT(80.271257 13.029872)
562,theft_burglary,13.038745,80.277181,-40,POINT(80.277181 13.038745)
563,assault_robbery,13.148365,80.211727,-100,POINT(80.211727 13.148365)
564,transit_stop,13.070696,80.228886,10,POINT(80.228886 13.070696)
565,hospital_clinic,13.144814,80.286885,50,POINT(80.286885 13.144814)
566,police_station,13.122718,80.210085,100,POINT(80.210085 13.122718)
567,street_light,12.995381,80.283448,20,POINT(80.283448 12.995381)
568,dark_alley,12.963555,80.185935,-20,POINT(80.185935 12.963555)
569,hotspot,13.090066,80.234058,-60,POINT(80.234058 13.090066)
570,store_24h,13.076861,80.247538,30,POINT(80.247538 13.076861)
571,street_light,13.113102,80.269713,20,POINT(80.269713 13.113102)
572,theft_burglary,13.087954,80.234986,-40,POINT(80.234986 13.087954)
573,assault_robbery,12.976043,80.266211,-100,POINT(80.266211 12.976043)
574,police_station,12.975875,80.235009,100,POINT(80.235009 12.975875)
575,street_light,12.977712,80.205705,20,POINT(80.205705 12.977712)
576,assault_robbery,12.97784,80.262021,-100,POINT(80.262021 12.97784)
577,police_station,13.055752,80.228105,100,POINT(80.228105 13.055752)
578,dark_alley,12.975693,80.185098,-20,POINT(80.185098 12.975693)
579,theft_burglary,12.95995,80.255543,-40,POINT(80.255543 12.95995)
580,street_light,12.925124,80.192708,20,POINT(80.192708 12.925124)
581,transit_stop,13.042735,80.2439,10,POINT(80.2439 13.042735)
582,street_light,13.0695,80.268602,20,POINT(80.268602 13.0695)
583,theft_burglary,13.094819,80.223282,-40,POINT(80.223282 13.094819)
584,transit_stop,13.142172,80.20086,10,POINT(80.20086 13.142172)
585,transit_stop,12.907623,80.222845,10,POINT(80.222845 12.907623)
586,store_24h,12.978708,80.193997,30,POINT(80.193997 12.978708)
587,street_light,12.912914,80.224485,20,POINT(80.224485 12.912914)
588,transit_stop,13.053134,80.26003,10,POINT(80.26003 13.053134)
589,transit_stop,13.114518,80.177096,10,POINT(80.177096 13.114518)
590,street_light,13.062232,80.244812,20,POINT(80.244812 13.062232)
591,street_light,12.990071,80.208182,20,POINT(80.208182 12.990071)
592,dark_alley,12.919992,80.250719,-20,POINT(80.250719 12.919992)
593,transit_stop,13.127441,80.267634,10,POINT(80.267634 13.127441)
594,theft_burglary,13.034646,80.304778,-40,POINT(80.304778 13.034646)
595,assault_robbery,13.121789,80.245881,-100,POINT(80.245881 13.121789)
596,transit_stop,12.910317,80.301204,10,POINT(80.301204 12.910317)
597,transit_stop,12.976494,80.240088,10,POINT(80.240088 12.976494)
598,store_24h,12.911375,80.180031,30,POINT(80.180031 12.911375)
599,store_24h,13.026487,80.209745,30,POINT(80.209745 13.026487)
600,street_light,12.961851,80.296693,20,POINT(80.296693 12.961851)
601,street_light,13.093182,80.240504,20,POINT(80.240504 13.093182)
602,transit_stop,13.12038,80.308113,10,POINT(80.308113 13.12038)
603,dark_alley,12.955266,80.287574,-20,POINT(80.287574 12.955266)
604,hospital_clinic,12.955007,80.171382,50,POINT(80.171382 12.955007)
605,store_24h,12.94357,80.171204,30,POINT(80.171204 12.94357)
606,street_light,13.021254,80.293436,20,POINT(80.293436 13.021254)
607,transit_stop,13.099509,80.248543,10,POINT(80.248543 13.099509)
608,street_light,13.070265,80.192151,20,POINT(80.192151 13.070265)
609,hotspot,12.905712,80.229636,-60,POINT(80.229636 12.905712)
610,transit_stop,12.970352,80.198957,10,POINT(80.198957 12.970352)
611,transit_stop,12.928554,80.250413,10,POINT(80.250413 12.928554)
612,theft_burglary,13.079302,80.172368,-40,POINT(80.172368 13.079302)
613,street_light,13.117177,80.192892,20,POINT(80.192892 13.117177)
614,street_light,13.13573,80.215673,20,POINT(80.215673 13.13573)
615,street_light,12.917257,80.170903,20,POINT(80.170903 12.917257)
616,store_24h,13.071801,80.260982,30,POINT(80.260982 13.071801)
617,street_light,13.027436,80.271701,20,POINT(80.271701 13.027436)
618,dark_alley,13.104631,80.258234,-20,POINT(80.258234 13.104631)
619,store_24h,13.127477,80.27118,30,POINT(80.27118 13.127477)
620,store_24h,12.923525,80.173257,30,POINT(80.173257 12.923525)
621,hospital_clinic,13.093322,80.196248,50,POINT(80.196248 13.093322)
622,transit_stop,12.98676,80.18751,10,POINT(80.18751 12.98676)
623,street_light,12.980848,80.252878,20,POINT(80.252878 12.980848)
624,dark_alley,13.122192,80.272059,-20,POINT(80.272059 13.122192)
625,transit_stop,13.061572,80.28733,10,POINT(80.28733 13.061572)
626,assault_robbery,13.116381,80.201573,-100,POINT(80.201573 13.116381)
627,street_light,13.008391,80.227916,20,POINT(80.227916 13.008391)
628,hotspot,13.084705,80.190021,-60,POINT(80.190021 13.084705)
629,store_24h,13.116367,80.199989,30,POINT(80.199989 13.116367)
630,street_light,12.912348,80.259169,20,POINT(80.259169 12.912348)
631,street_light,13.011258,80.293506,20,POINT(80.293506 13.011258)
632,transit_stop,13.065312,80.294745,10,POINT(80.294745 13.065312)
633,street_light,12.981001,80.229406,20,POINT(80.229406 12.981001)
634,store_24h,12.913746,80.278132,30,POINT(80.278132 12.913746)
635,store_24h,13.104246,80.193793,30,POINT(80.193793 13.104246)
636,assault_robbery,12.99527,80.239458,-100,POINT(80.239458 12.99527)
637,hotspot,12.929376,80.29764,-60,POINT(80.29764 12.929376)
638,hotspot,13.143814,80.243918,-60,POINT(80.243918 13.143814)
639,hospital_clinic,13.133226,80.191068,50,POINT(80.191068 13.133226)
640,street_light,12.959085,80.194184,20,POINT(80.194184 12.959085)
641,store_24h,13.083282,80.212963,30,POINT(80.212963 13.083282)
642,transit_stop,13.076768,80.195859,10,POINT(80.195859 13.076768)
643,transit_stop,12.999866,80.252038,10,POINT(80.252038 12.999866)
644,street_light,13.019752,80.245576,20,POINT(80.245576 13.019752)
645,street_light,13.055081,80.21104,20,POINT(80.21104 13.055081)
646,transit_stop,12.934181,80.217889,10,POINT(80.217889 12.934181)
647,street_light,13.011757,80.24815,20,POINT(80.24815 13.011757)
648,store_24h,12.968735,80.244748,30,POINT(80.244748 12.968735)
649,theft_burglary,12.991406,80.277239,-40,POINT(80.277239 12.991406)
650,transit_stop,12.94348,80.262977,10,POINT(80.262977 12.94348)
651,hotspot,13.144991,80.218739,-60,POINT(80.218739 13.144991)
652,store_24h,13.066358,80.297357,30,POINT(80.297357 13.066358)
653,dark_alley,12.951359,80.20975,-20,POINT(80.20975 12.951359)
654,theft_burglary,13.097863,80.278581,-40,POINT(80.278581 13.097863)
655,dark_alley,13.000056,80.228111,-20,POINT(80.228111 13.000056)
656,transit_stop,13.095249,80.244361,10,POINT(80.244361 13.095249)
657,hotspot,13.043473,80.255458,-60,POINT(80.255458 13.043473)
658,street_light,13.053457,80.295678,20,POINT(80.295678 13.053457)
659,street_light,13.140573,80.195511,20,POINT(80.195511 13.140573)
660,transit_stop,12.935085,80.209829,10,POINT(80.209829 12.935085)
661,transit_stop,12.954935,80.275438,10,POINT(80.275438 12.954935)
662,dark_alley,12.978934,80.22269,-20,POINT(80.22269 12.978934)
663,hospital_clinic,13.146256,80.27405,50,POINT(80.27405 13.146256)
664,street_light,13.101456,80.268241,20,POINT(80.268241 13.101456)
665,assault_robbery,12.94034,80.258876,-100,POINT(80.258876 12.94034)
666,theft_burglary,13.148601,80.185282,-40,POINT(80.185282 13.148601)
667,theft_burglary,13.083327,80.270761,-40,POINT(80.270761 13.083327)
668,store_24h,12.935191,80.306343,30,POINT(80.306343 12.935191)
669,theft_burglary,13.016852,80.211828,-40,POINT(80.211828 13.016852)
670,street_light,13.005425,80.237775,20,POINT(80.237775 13.005425)
671,transit_stop,12.972205,80.20326,10,POINT(80.20326 12.972205)
672,store_24h,13.026988,80.177794,30,POINT(80.177794 13.026988)
673,store_24h,13.091063,80.276432,30,POINT(80.276432 13.091063)
674,street_light,13.143581,80.252905,20,POINT(80.252905 13.143581)
675,transit_stop,13.049028,80.261304,10,POINT(80.261304 13.049028)
676,street_light,13.104362,80.186113,20,POINT(80.186113 13.104362)
677,dark_alley,12.905988,80.297182,-20,POINT(80.297182 12.905988)
678,store_24h,12.954611,80.297985,30,POINT(80.297985 12.954611)
679,store_24h,12.947787,80.198222,30,POINT(80.198222 12.947787)
680,dark_alley,13.038563,80.286141,-20,POINT(80.286141 13.038563)
681,assault_robbery,12.912708,80.270367,-100,POINT(80.270367 12.912708)
682,theft_burglary,12.982126,80.277807,-40,POINT(80.277807 12.982126)
683,assault_robbery,13.056244,80.289336,-100,POINT(80.289336 13.056244)
684,dark_alley,12.93336,80.190646,-20,POINT(80.190646 12.93336)
685,dark_alley,12.919962,80.304409,-20,POINT(80.304409 12.919962)
686,hotspot,13.007039,80.228814,-60,POINT(80.228814 13.007039)
687,transit_stop,13.084798,80.207098,10,POINT(80.207098 13.084798)
688,police_station,13.055178,80.24651,100,POINT(80.24651 13.055178)
689,hospital_clinic,13.139145,80.225723,50,POINT(80.225723 13.139145)
690,dark_alley,13.011599,80.289045,-20,POINT(80.289045 13.011599)
691,hospital_clinic,12.983678,80.20576,50,POINT(80.20576 12.983678)
692,dark_alley,13.118703,80.21943,-20,POINT(80.21943 13.118703)
693,street_light,13.046216,80.251473,20,POINT(80.251473 13.046216)
694,assault_robbery,13.010014,80.193252,-100,POINT(80.193252 13.010014)
695,store_24h,13.027883,80.282226,30,POINT(80.282226 13.027883)
696,store_24h,13.036507,80.222081,30,POINT(80.222081 13.036507)
697,street_light,12.91167,80.203478,20,POINT(80.203478 12.91167)
698,hotspot,13.079703,80.212034,-60,POINT(80.212034 13.079703)
699,transit_stop,13.104645,80.209546,10,POINT(80.209546 13.104645)
700,theft_burglary,12.950155,80.216328,-40,POINT(80.216328 12.950155)
701,theft_burglary,13.074277,80.300488,-40,POINT(80.300488 13.074277)
702,dark_alley,13.134397,80.261759,-20,POINT(80.261759 13.134397)
703,store_24h,12.985195,80.291229,30,POINT(80.291229 12.985195)
704,hotspot,12.980883,80.22125,-60,POINT(80.22125 12.980883)
705,street_light,12.965354,80.192856,20,POINT(80.192856 12.965354)
706,assault_robbery,13.071808,80.305406,-100,POINT(80.305406 13.071808)
707,street_light,13.117693,80.250331,20,POINT(80.250331 13.117693)
708,street_light,12.901113,80.265341,20,POINT(80.265341 12.901113)
709,store_24h,13.092835,80.247017,30,POINT(80.247017 13.092835)
710,transit_stop,13.014728,80.250163,10,POINT(80.250163 13.014728)
711,store_24h,12.995278,80.203177,30,POINT(80.203177 12.995278)
712,transit_stop,13.070952,80.221051,10,POINT(80.221051 13.070952)
713,dark_alley,13.030779,80.253698,-20,POINT(80.253698 13.030779)
714,transit_stop,12.958034,80.182637,10,POINT(80.182637 12.958034)
715,transit_stop,13.066301,80.24234,10,POINT(80.24234 13.066301)
716,theft_burglary,13.00451,80.227413,-40,POINT(80.227413 13.00451)
717,theft_burglary,12.934619,80.220636,-40,POINT(80.220636 12.934619)
718,transit_stop,13.040898,80.298095,10,POINT(80.298095 13.040898)
719,street_light,13.035681,80.197408,20,POINT(80.197408 13.035681)
720,street_light,12.978636,80.308271,20,POINT(80.308271 12.978636)
721,dark_alley,13.037618,80.232969,-20,POINT(80.232969 13.037618)
722,street_light,13.141483,80.228309,20,POINT(80.228309 13.141483)
723,hotspot,13.104072,80.302856,-60,POINT(80.302856 13.104072)
724,hotspot,13.093468,80.266047,-60,POINT(80.266047 13.093468)
725,street_light,12.94206,80.265522,20,POINT(80.265522 12.94206)
726,hospital_clinic,12.925754,80.223618,50,POINT(80.223618 12.925754)
727,street_light,13.103503,80.299659,20,POINT(80.299659 13.103503)
728,hotspot,13.081123,80.18258,-60,POINT(80.18258 13.081123)
729,store_24h,12.990703,80.296529,30,POINT(80.296529 12.990703)
730,store_24h,12.920122,80.232625,30,POINT(80.232625 12.920122)
731,street_light,13.149482,80.213483,20,POINT(80.213483 13.149482)
732,police_station,12.950172,80.172892,100,POINT(80.172892 12.950172)
733,store_24h,12.990323,80.21284,30,POINT(80.21284 12.990323)
734,street_light,13.132521,80.23998,20,POINT(80.23998 13.132521)
735,street_light,13.11628,80.256596,20,POINT(80.256596 13.11628)
736,store_24h,13.110235,80.306434,30,POINT(80.306434 13.110235)
737,hospital_clinic,12.920698,80.197968,50,POINT(80.197968 12.920698)
738,hotspot,13.080106,80.195851,-60,POINT(80.195851 13.080106)
739,street_light,13.076872,80.30682,20,POINT(80.30682 13.076872)
740,street_light,13.068563,80.193178,20,POINT(80.193178 13.068563)
741,hotspot,12.98836,80.229561,-60,POINT(80.229561 12.98836)
742,street_light,13.078595,80.244605,20,POINT(80.244605 13.078595)
743,theft_burglary,13.103114,80.27175,-40,POINT(80.27175 13.103114)
744,street_light,12.956555,80.236214,20,POINT(80.236214 12.956555)
745,transit_stop,13.145934,80.239771,10,POINT(80.239771 13.145934)
746,theft_burglary,13.055348,80.181732,-40,POINT(80.181732 13.055348)
747,street_light,13.051058,80.248363,20,POINT(80.248363 13.051058)
748,hotspot,13.067529,80.173848,-60,POINT(80.173848 13.067529)
749,street_light,12.938056,80.227371,20,POINT(80.227371 12.938056)
750,dark_alley,12.914338,80.24662,-20,POINT(80.24662 12.914338)
751,dark_alley,13.118667,80.291732,-20,POINT(80.291732 13.118667)
752,street_light,13.019322,80.175841,20,POINT(80.175841 13.019322)
753,store_24h,13.004213,80.23867,30,POINT(80.23867 13.004213)
754,store_24h,13.055344,80.183381,30,POINT(80.183381 13.055344)
755,assault_robbery,13.039763,80.304,-100,POINT(80.304 13.039763)
756,street_light,12.948669,80.24237,20,POINT(80.24237 12.948669)
757,dark_alley,13.09896,80.306528,-20,POINT(80.306528 13.09896)
758,store_24h,12.93549,80.231873,30,POINT(80.231873 12.93549)
759,street_light,12.900874,80.227804,20,POINT(80.227804 12.900874)
760,dark_alley,12.953123,80.204816,-20,POINT(80.204816 12.953123)
761,assault_robbery,12.975745,80.275438,-100,POINT(80.275438 12.975745)
762,transit_stop,13.061756,80.254851,10,POINT(80.254851 13.061756)
763,dark_alley,13.132719,80.294281,-20,POINT(80.294281 13.132719)
764,dark_alley,12.90447,80.307288,-20,POINT(80.307288 12.90447)
765,store_24h,12.901986,80.244107,30,POINT(80.244107 12.901986)
766,street_light,12.966532,80.26129,20,POINT(80.26129 12.966532)
767,transit_stop,13.133906,80.284078,10,POINT(80.284078 13.133906)
768,transit_stop,12.911407,80.294247,10,POINT(80.294247 12.911407)
769,street_light,13.132645,80.195487,20,POINT(80.195487 13.132645)
770,transit_stop,13.078334,80.277265,10,POINT(80.277265 13.078334)
771,street_light,13.087549,80.202557,20,POINT(80.202557 13.087549)
772,street_light,13.02597,80.301823,20,POINT(80.301823 13.02597)
773,transit_stop,12.952022,80.263665,10,POINT(80.263665 12.952022)
774,transit_stop,13.031284,80.238209,10,POINT(80.238209 13.031284)
775,transit_stop,13.029976,80.275673,10,POINT(80.275673 13.029976)
776,assault_robbery,12.994471,80.212455,-100,POINT(80.212455 12.994471)
777,transit_stop,13.127543,80.299283,10,POINT(80.299283 13.127543)
778,hotspot,13.066581,80.306029,-60,POINT(80.306029 13.066581)
779,transit_stop,13.020549,80.271477,10,POINT(80.271477 13.020549)
780,street_light,12.985656,80.211804,20,POINT(80.211804 12.985656)
781,assault_robbery,13.030768,80.265373,-100,POINT(80.265373 13.030768)
782,police_station,12.950453,80.261034,100,POINT(80.261034 12.950453)
783,street_light,12.92721,80.28722,20,POINT(80.28722 12.92721)
784,store_24h,13.144878,80.243377,30,POINT(80.243377 13.144878)
785,hospital_clinic,13.082307,80.30341,50,POINT(80.30341 13.082307)
786,store_24h,12.938302,80.280831,30,POINT(80.280831 12.938302)
787,street_light,12.92232,80.248017,20,POINT(80.248017 12.92232)
788,transit_stop,13.029988,80.224154,10,POINT(80.224154 13.029988)
789,transit_stop,12.942122,80.21457,10,POINT(80.21457 12.942122)
790,theft_burglary,12.921862,80.182361,-40,POINT(80.182361 12.921862)
791,street_light,13.055064,80.263985,20,POINT(80.263985 13.055064)
792,hotspot,13.058043,80.291678,-60,POINT(80.291678 13.058043)
793,transit_stop,13.060984,80.285382,10,POINT(80.285382 13.060984)
794,theft_burglary,12.931719,80.223358,-40,POINT(80.223358 12.931719)
795,transit_stop,12.989423,80.237851,10,POINT(80.237851 12.989423)
796,hospital_clinic,12.909439,80.22254,50,POINT(80.22254 12.909439)
797,hotspot,13.045408,80.182628,-60,POINT(80.182628 13.045408)
798,theft_burglary,13.039482,80.204319,-40,POINT(80.204319 13.039482)
799,street_light,13.020959,80.248132,20,POINT(80.248132 13.020959)
800,dark_alley,13.133074,80.30634,-20,POINT(80.30634 13.133074)
801,dark_alley,12.981454,80.202278,-20,POINT(80.202278 12.981454)
802,street_light,13.068489,80.236397,20,POINT(80.236397 13.068489)
803,dark_alley,12.981824,80.284916,-20,POINT(80.284916 12.981824)
804,street_light,12.990212,80.231182,20,POINT(80.231182 12.990212)
805,theft_burglary,13.135344,80.187728,-40,POINT(80.187728 13.135344)
806,dark_alley,12.977363,80.235054,-20,POINT(80.235054 12.977363)
807,dark_alley,12.959869,80.285951,-20,POINT(80.285951 12.959869)
